Date,Rate,Rate_Annual_pct,Rate_Annual,Rate_Daily,Daily_Return
2020-01-01,0.38,0.38,0.0038,1.5079079718205435e-07,1.5079079718205435e-07
2020-02-01,0.29,0.29,0.0029,1.1507770314445054e-07,1.1507770314445054e-07
2020-03-01,0.34,0.34,0.0034000000000000002,1.3491835049173062e-07,1.3491835049173062e-07
2020-04-01,0.28,0.28,0.0028000000000000004,1.111095617734037e-07,1.111095617734037e-07
2020-05-01,0.24,0.24,0.0024,9.523695698732126e-08,9.523695698732126e-08
2020-06-01,0.21,0.21,0.0021,8.333246181990717e-08,8.333246181990717e-08
2020-07-01,0.19,0.19,0.0019,7.53961120203428e-08,7.53961120203428e-08
2020-08-01,0.16,0.16,0.0016,6.349155756701919e-08,6.349155756701919e-08
2020-09-01,0.16,0.16,0.0016,6.349155756701919e-08,6.349155756701919e-08
2020-10-01,0.16,0.16,0.0016,6.349155756701919e-08,6.349155756701919e-08
2020-11-01,0.15,0.15,0.0015,5.952336490366861e-08,5.952336490366861e-08
2020-12-01,0.16,0.16,0.0016,6.349155756701919e-08,6.349155756701919e-08
2021-01-01,0.15,0.15,0.0015,5.952336490366861e-08,5.952336490366861e-08
2021-02-01,0.13,0.13,0.0013,5.1586967586558785e-08,5.1586967586558785e-08
2021-03-01,0.2,0.2,0.002,7.936428891852643e-08,7.936428891852643e-08
2021-04-01,0.21,0.21,0.0021,8.333246181990717e-08,8.333246181990717e-08
2021-05-01,0.27,0.27,0.0027,1.0714141640555397e-07,1.0714141640555397e-07
2021-06-01,0.31,0.31,0.0031,1.2301397389613555e-07,1.2301397389613555e-07
2021-07-01,0.36,0.36,0.0036,1.4285458171947596e-07,1.4285458171947596e-07
2021-08-01,0.43,0.43,0.0043,1.7063126667160589e-07,1.7063126667160589e-07
2021-09-01,0.44,0.44,0.0044,1.745993487567432e-07,1.745993487567432e-07
2021-10-01,0.49,0.49,0.0049,1.9443969967447572e-07,1.9443969967447572e-07
2021-11-01,0.59,0.59,0.0059,2.3412010508039316e-07,2.3412010508039316e-07
2021-12-01,0.77,0.77,0.0077,3.0554383889658254e-07,3.0554383889658254e-07
2022-01-01,0.73,0.73,0.0073,2.896720088241267e-07,2.896720088241267e-07
2022-02-01,0.76,0.76,0.0076,3.015758873736729e-07,3.015758873736729e-07
2022-03-01,0.93,0.93,0.009300000000000001,3.6903052746950493e-07,3.6903052746950493e-07
2022-04-01,0.83,0.83,0.0083,3.293514656554919e-07,3.293514656554919e-07
2022-05-01,1.03,1.03,0.0103,4.087091940441212e-07,4.087091940441212e-07
2022-06-01,1.02,1.02,0.0102,4.0474134510581905e-07,4.0474134510581905e-07
2022-07-01,1.03,1.03,0.0103,4.087091940441212e-07,4.087091940441212e-07
2022-08-01,1.17,1.17,0.011699999999999999,4.6425866351285094e-07,4.6425866351285094e-07
2022-09-01,1.07,1.07,0.010700000000000001,4.2458055005134554e-07,4.2458055005134554e-07
2022-10-01,1.02,1.02,0.0102,4.0474134510581905e-07,4.0474134510581905e-07
2022-11-01,1.02,1.02,0.0102,4.0474134510581905e-07,4.0474134510581905e-07
2022-12-01,1.12,1.12,0.011200000000000002,4.4441965618702284e-07,4.4441965618702284e-07
2023-01-01,1.12,1.12,0.011200000000000002,4.4441965618702284e-07,4.4441965618702284e-07
2023-02-01,0.92,0.92,0.0092,3.650626390072631e-07,3.650626390072631e-07
2023-03-01,1.17,1.17,0.011699999999999999,4.6425866351285094e-07,4.6425866351285094e-07
2023-04-01,0.92,0.92,0.0092,3.650626390072631e-07,3.650626390072631e-07
2023-05-01,1.12,1.12,0.011200000000000002,4.4441965618702284e-07,4.4441965618702284e-07
2023-06-01,1.07,1.07,0.010700000000000001,4.2458055005134554e-07,4.2458055005134554e-07
2023-07-01,1.07,1.07,0.010700000000000001,4.2458055005134554e-07,4.2458055005134554e-07
2023-08-01,1.14,1.14,0.011399999999999999,4.523552710189449e-07,4.523552710189449e-07
2023-09-01,0.97,0.97,0.0097,3.84902041572488e-07,3.84902041572488e-07
2023-10-01,1.0,1.0,0.01,3.968056356828953e-07,3.968056356828953e-07
2023-11-01,0.92,0.92,0.0092,3.650626390072631e-07,3.650626390072631e-07
2023-12-01,0.89,0.89,0.0089,3.531589503058541e-07,3.531589503058541e-07
2024-01-01,0.97,0.97,0.0097,3.84902041572488e-07,3.84902041572488e-07
2024-02-01,0.8,0.8,0.008,3.174476701506279e-07,3.174476701506279e-07
2024-03-01,0.83,0.83,0.0083,3.293514656554919e-07,3.293514656554919e-07
2024-04-01,0.89,0.89,0.0089,3.531589503058541e-07,3.531589503058541e-07
2024-05-01,0.83,0.83,0.0083,3.293514656554919e-07,3.293514656554919e-07
2024-06-01,0.79,0.79,0.0079,3.1347973039608235e-07,3.1347973039608235e-07
2024-07-01,0.91,0.91,0.0091,3.61094746770263e-07,3.61094746770263e-07
2024-08-01,0.87,0.87,0.0087,3.4522313785423364e-07,3.4522313785423364e-07
2024-09-01,0.84,0.84,0.0084,3.333193896448705e-07,3.333193896448705e-07
2024-10-01,0.93,0.93,0.009300000000000001,3.6903052746950493e-07,3.6903052746950493e-07
2024-11-01,0.79,0.79,0.0079,3.1347973039608235e-07,3.1347973039608235e-07
2024-12-01,0.93,0.93,0.009300000000000001,3.6903052746950493e-07,3.6903052746950493e-07
2025-01-01,1.01,1.01,0.0101,4.007734923927586e-07,4.007734923927586e-07
2025-02-01,0.99,0.99,0.009899999999999999,3.9283777497622907e-07,3.9283777497622907e-07
2025-03-01,0.96,0.96,0.0096,3.809341688754131e-07,3.809341688754131e-07
2025-04-01,1.06,1.06,0.0106,4.2061271710025494e-07,4.2061271710025494e-07
2025-05-01,1.14,1.14,0.011399999999999999,4.523552710189449e-07,4.523552710189449e-07
2025-06-01,1.1,1.1,0.011000000000000001,4.364840255899338e-07,4.364840255899338e-07
2025-07-01,1.28,1.28,0.0128,5.079041318634125e-07,5.079041318634125e-07
2025-08-01,1.16,1.16,0.0116,4.602908698636554e-07,4.602908698636554e-07
2025-09-01,1.22,1.22,0.012199999999999999,4.840975720288299e-07,4.840975720288299e-07
2025-10-01,1.28,1.28,0.0128,5.079041318634125e-07,5.079041318634125e-07
2025-11-01,1.05,1.05,0.0105,4.1664487993031685e-07,4.1664487993031685e-07
2025-12-01,1.22,1.22,0.012199999999999999,4.840975720288299e-07,4.840975720288299e-07
2026-01-01,0.17,0.17,0.0017000000000000001,6.745974623356688e-08,6.745974623356688e-08
